scheme,q_bootstrap_stability,q_feature_dropout_stability,q_stability,q_extended_mean_abs_gap,q_extended_consistency
S1,1.0,0.9678571428571431,0.9839285714285715,0.0009755311088600893,0.9990244688911399
S2,1.0,0.8214285714285715,0.9107142857142858,0.0019645290770055057,0.9980354709229945
S3,1.0,0.9607142857142857,0.9803571428571429,0.0008429146850727209,0.9991570853149273
S4,0.9948214285714286,1.0,0.9974107142857143,0.01725083126551167,0.9827491687344884
