scheme,cv_mean,cv_std,standardized_mae,mean_spearman,top_k_regret,worst_task_rmse,complexity,fold_count,cv_se,q_stability,q_bootstrap_stability,q_feature_dropout_stability,q_extended_consistency,within_one_se,selected
S3,0.1686145316970018,0.016559046970637575,0.1116006305948148,0.9856008947123011,0.0,0.25260068036113037,23393.1,10,0.0052364304308926074,0.9803571428571429,1.0,0.9607142857142857,0.9991570853149273,True,True
S2,0.50771590192813,0.029755111910374846,0.39356709818330243,0.8710456323360363,0.04349299833373886,0.6411050620190141,208.0,10,0.009409392566998845,0.9107142857142858,1.0,0.8214285714285715,0.9980354709229945,False,False
S4,0.575266764730223,0.028615221115553643,0.4549592414184217,0.8232414006187605,0.033507991372179455,0.8197954470953267,1989.0,10,0.009048927447449376,0.9974107142857143,0.9948214285714286,1.0,0.9827491687344884,False,False
S1,0.6092228600136302,0.04840765009693142,0.46938240355580474,0.8085959174538632,0.022683579057174098,0.893151042872389,1931.8,10,0.015307843048277389,0.9839285714285715,1.0,0.9678571428571431,0.9990244688911399,False,False
