scheme,outer_fold,parameter_index,parameters,inner_cv_rmse
S2,1,4,"{""alpha"": 0.003, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5165174300809473
S2,1,3,"{""alpha"": 0.001, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5165937587057163
S2,1,2,"{""alpha"": 0.001, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.516607936002112
S2,1,1,"{""alpha"": 0.0003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5166372949257286
S2,1,0,"{""alpha"": 0.0003, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5166416083661068
S2,2,5,"{""alpha"": 0.003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5052148148824255
S2,2,4,"{""alpha"": 0.003, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5052408121580444
S2,2,3,"{""alpha"": 0.001, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5052926938044857
S2,2,2,"{""alpha"": 0.001, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5053019186053819
S2,2,1,"{""alpha"": 0.0003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5053224478359332
S2,2,0,"{""alpha"": 0.0003, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5053252735619771
S2,3,5,"{""alpha"": 0.003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5086847403638529
S2,3,4,"{""alpha"": 0.003, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5087140203340539
S2,3,3,"{""alpha"": 0.001, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5087826329298953
S2,3,2,"{""alpha"": 0.001, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5087929362542305
S2,3,1,"{""alpha"": 0.0003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5088193569726385
S2,3,0,"{""alpha"": 0.0003, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5088225045839986
S2,4,5,"{""alpha"": 0.003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.52495412758048
S2,4,4,"{""alpha"": 0.003, ""l1_ratio"": 0.25, ""zero_replacement"": 0.0001}",0.5249714869588199
S2,4,3,"{""alpha"": 0.001, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",0.5250447072237528
