mean_standardized_rmse,mean_standardized_mae,mean_spearman,top_k_regret,worst_task_standardized_rmse,scheme,outer_fold,parameters,complexity
0.5670056462752541,0.4456805090888306,0.8383155525667498,0.0,0.7881325198535546,S1,1,"{""alpha"": 0.003, ""l1_ratio"": 0.75}",1924.0
0.5653828894125208,0.44463175013489215,0.8229887232654882,0.0,0.8485218511932565,S1,2,"{""alpha"": 0.003, ""l1_ratio"": 0.75}",1924.0
0.7185932809007978,0.513812135706053,0.7879701426189712,0.008070051634469166,1.173183958000699,S1,3,"{""alpha"": 0.003, ""l1_ratio"": 0.75}",1924.0
0.6240279992457226,0.4850570145797167,0.7850332939984681,0.0,0.9199846623420832,S1,4,"{""alpha"": 0.003, ""l1_ratio"": 0.75}",1937.0
0.6238536276937446,0.4786724025463141,0.8076590332670309,0.11537625000666019,0.8887091612289902,S1,5,"{""alpha"": 0.003, ""l1_ratio"": 0.75}",1937.0
0.6261916007322229,0.48990244965059354,0.8067638441600574,0.0,0.8800833515341852,S1,6,"{""alpha"": 0.003, ""l1_ratio"": 0.75}",1937.0
0.6054539051123589,0.4530412914249559,0.836394418742967,0.10338948893061162,0.8828777955025221,S1,7,"{""alpha"": 0.003, ""l1_ratio"": 0.75}",1937.0
0.5415018731071757,0.4264102303063662,0.8136832266014458,0.0,0.7743373531921196,S1,8,"{""alpha"": 0.003, ""l1_ratio"": 0.75}",1937.0
0.6030207539159571,0.4735058938925852,0.7929086762737688,0.0,0.8919637145463755,S1,9,"{""alpha"": 0.003, ""l1_ratio"": 0.75}",1924.0
0.6171970237405477,0.48311035822774034,0.7942422630436834,0.0,0.8837160613301035,S1,10,"{""alpha"": 0.003, ""l1_ratio"": 0.75}",1937.0
0.5496348790159356,0.42439681603891344,0.8588870603104227,0.0,0.7387409319767153,S2,1,"{""alpha"": 0.003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",208.0
0.5093215943469434,0.3947842821155856,0.8659295280127334,0.0,0.6458682973370726,S2,2,"{""alpha"": 0.003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",208.0
0.5326314168362383,0.41132517645674044,0.8708978396851239,0.0,0.6681331753588087,S2,3,"{""alpha"": 0.003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",208.0
0.4599168537941357,0.3606453701268541,0.8802312072352956,0.0755276158003445,0.5878861917875268,S2,4,"{""alpha"": 0.003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",208.0
0.49110942471420294,0.3791104638698355,0.8836917474640755,0.0,0.6036728863991696,S2,5,"{""alpha"": 0.003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",208.0
0.5082328947093482,0.402476494339,0.8726594101764333,0.017385973200106486,0.6044139027716723,S2,6,"{""alpha"": 0.003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",208.0
0.5447291183346608,0.40917680562692355,0.8704054149953196,0.0,0.6988625695065227,S2,7,"{""alpha"": 0.003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",208.0
0.4695199564455931,0.35749546811506516,0.8828305270451484,0.0,0.5865454551756242,S2,8,"{""alpha"": 0.003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",208.0
0.49622420438889014,0.38471441772275106,0.8721209466639236,0.3420163943369376,0.6366328423203513,S2,9,"{""alpha"": 0.003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",208.0
0.5158386766953523,0.4115456874213554,0.8528026417718871,0.0,0.6402943675566773,S2,10,"{""alpha"": 0.003, ""l1_ratio"": 0.75, ""zero_replacement"": 0.0001}",208.0
0.17184319945202275,0.11742705021268741,0.9850957918338946,0.0,0.2827293913630726,S3,1,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",23453.0
0.16375070147732407,0.10999976015333948,0.983346794224095,0.0,0.2500977970973536,S3,2,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",23955.0
0.19880571323511673,0.1190160268833167,0.9827816810587618,0.0,0.2861392459961801,S3,3,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",22851.0
0.14705396979986102,0.10516483970094008,0.9869355472207592,0.0,0.20812573794339742,S3,4,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",23429.0
0.16383046292028125,0.10856499644796459,0.9895861922879016,0.0,0.25413598121835046,S3,5,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",23044.0
0.1641574633638697,0.11498299727670688,0.9851428938324338,0.0,0.2245247740067185,S3,6,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",23322.0
0.1964424530430161,0.11777418031269266,0.9871223206350387,0.0,0.3089130786444331,S3,7,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",23765.0
0.15676925700143507,0.10181768740327403,0.984046544179085,0.0,0.2626775939761947,S3,8,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",23170.0
0.16007822358977153,0.10829737471456427,0.9879516133311699,0.0,0.20969241726067323,S3,9,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",23615.0
0.16341387308731972,0.1129613928426618,0.9839995685198709,0.0,0.2389707861049297,S3,10,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",23327.0
